0xbfd40390	0x46
0xbfd40394	0x46
0xbfd40398	0x46
0xbfd4039c	0x46
0xbfd403a0	0x46
0xbfd403a4	0x46
0xbfd403a8	0x46
0xbfd403ac	0xea60
0xbfd403b0	0x9c40
0xbfd403b4	0x9c40
0xbfd403b8	0xea60
0xbfd403bc	0xea60
0xbfd403c0	0x11170
0xbfd403c4	0x11170
0xbfd403c8	0xea60
0xbfd403cc	0xea60
0xbfd403d0	0xfa0
0xbfd403d4	0xfa0
0xbfd403d8	0xea60
0xbfd403dc	0x5
0xbfd403e0	0x0
0xbfd403e4	0x0
0xbfd403e8	0x5
0xbfd403ec	0x5
0xbfd403f0	0x0
0xbfd403f4	0x0
0xbfd403f8	0x5
0xbfd403fc	0x5
0xbfd40400	0x0
0xbfd40404	0x0
0xbfd40408	0x5
0xbfd4040c	0x5
0xbfd40410	0x0
0xbfd40414	0x0
0xbfd40418	0x5
0xbfd4041c	0x5
0xbfd40420	0x0
0xbfd40424	0x0
0xbfd40428	0x5
0xbfd4042c	0x5
0xbfd40430	0x0
0xbfd40434	0x0
0xbfd40438	0x5
0xbfd4043c	0x5
0xbfd40440	0x0
0xbfd40444	0x0
0xbfd40448	0x5
0xbfd4044c	0x5
0xbfd40450	0x0
0xbfd40454	0x0
0xbfd40458	0x5
0xbfd4045c	0x5
0xbfd40460	0x0
0xbfd40464	0x0
0xbfd40468	0x5
0xbfd4046c	0x5
0xbfd40470	0x0
0xbfd40474	0x0
0xbfd40478	0x5
0xbfd4047c	0x5
0xbfd40480	0x0
0xbfd40484	0x0
0xbfd40488	0x5
0xbfd4048c	0x5
0xbfd40490	0x0
0xbfd40494	0x0
0xbfd40498	0x5
0xbfd4049c	0x5
0xbfd404a0	0x0
0xbfd404a4	0x0
0xbfd404a8	0x5
0xbfd404ac	0x5
0xbfd404b0	0x0
0xbfd404b4	0x0
0xbfd404b8	0x5
0xbfd404bc	0x5
0xbfd404c0	0x0
0xbfd404c4	0x0
0xbfd404c8	0x5
0xbfd404cc	0x1388
0xbfd404d0	0x2710
0xbfd404d4	0x2710
0xbfd404d8	0x1388
0xbfd404dc	0x7d0
0xbfd404e0	0x7d0
0xbfd404e4	0x7d0
0xbfd404e8	0x7d0
0xbfd404ec	0x2
0xbfd404f0	0x2
0xbfd404f4	0x2
0xbfd404f8	0x2
0xbfd404fc	0x64
0xbfd40500	0x320
0xbfd40504	0x320
0xbfd40508	0x1f4
0xbfd4050c	0xf
0xbfd40510	0x3c
0xbfd40514	0x3c
0xbfd40518	0x19
0xbfd4051c	0x7d0
0xbfd40520	0x7d0
0xbfd40524	0x7d0
0xbfd40528	0x7d0
0xbfd4052c	0x7d0
0xbfd40530	0xbb8
0xbfd40534	0xbb8
0xbfd40538	0x7d0
0xbfd4053c	0xf
0xbfd40540	0x37
0xbfd40544	0x37
0xbfd40548	0x19
0xbfd4054c	0x41880000
0xbfd40550	0x41a00000
0xbfd40554	0x41a00000
0xbfd40558	0x41980000
0xbfd4055c	0x7d0
0xbfd40560	0x1388
0xbfd40564	0x1388
0xbfd40568	0x7d0
0xbfd4056c	0x7d0
0xbfd40570	0xbb8
0xbfd40574	0xbb8
0xbfd40578	0x7d0
